Time,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W,Velocity_X,Velocity_Y,Velocity_Z,Angular_Velocity_X,Angular_Velocity_Y,Angular_Velocity_Z
57.841,57.4813674316159,70.79397795292539,-50.80512779364269,-0.005700526119163942,0.05075646664593567,0.2539402839563368,0.9658703936241961,1.0670095758197107,-1.0610433126183785,-1.3845126738824285,-0.0013339893193915486,0.003503948450088501,-0.001600566087290645
57.946,57.60164640739722,70.67296579724525,-50.73086944489245,-0.005611788437954821,0.05084032318790283,0.2536724645339106,0.9659368768744513,1.0632554289725735,-1.080888734447837,-1.3949724692768455,0.004689591005444527,-0.000658554024994374,-0.005684669595211744
58.041,57.68655945577728,70.58611131813554,-50.74045312789206,-0.005445888568249955,0.050655082559309575,0.2537204478870708,0.9659349560051111,1.059598804789773,-1.0912102865170208,-1.3958070939154053,0.004817209206521511,5.392823368310685e-06,-0.001985932467505336
58.142,57.79347400630197,70.47507264854981,-50.75334561224442,-0.005216004881252355,0.05064668957222732,0.25376567660444344,0.9659247835654401,1.0576259939488801,-1.1072222462040735,-1.4017457290839521,-0.001735641504637897,-0.0020810002461075783,-0.000679131015203893
58.241,57.89797906386003,70.36458041081416,-50.78576313363229,-0.005230980748215552,0.050652175712614544,0.25440129896692554,0.9657572018990753,1.053160968968484,-1.1236553542605683,-1.405550728102445,-0.0057106320746243,-0.0015949478838592766,0.0009484603069722655
58.342,58.00306541519893,70.25132125180795,-50.765405066675974,-0.005181791468802819,0.05056840943157396,0.2545667000193737,0.9657182716744986,1.048603915748078,-1.1407467298133447,-1.4093879572795307,0.008188457228243351,0.0006603491492569438,-0.006691548973321915
58.441,58.10773564288898,70.13640531746037,-50.80118387197684,-0.004955164269396512,0.050566331287383956,0.2542548402672884,0.965801723278569,1.0458381178556697,-1.1583341655563035,-1.4133067906777523,0.010220205411314964,-0.0003991704434156417,0.0006989251123741269
58.56,58.24119743303309,69.98656278956139,-50.75691194679947,-0.004695387504676482,0.05079162483877389,0.2541631590549248,0.965815330568758,1.040310234748752,-1.182840652717843,-1.3596347975689347,0.0019026054069399834,0.009701548144221306,-0.0035225164610892547
58.641,58.34098345154023,69.87224559825151,-50.79707706433349,-0.004716390967360241,0.051017150947042754,0.2536301401965297,0.9659434548405916,1.0385913862595706,-1.1982173742721605,-1.3633016186628126,0.0027871127240359783,0.006005029659718275,0.0021823078859597436
58.741,58.43244867520823,69.7661169447925,-50.80708608049043,-0.00474713658798313,0.050811910688138666,0.2539480715811486,0.9658705872769144,1.0399909814072807,-1.213161985428437,-1.3018461662808247,-0.0021022013388574123,-0.0012158406898379335,-0.007024144753813744
58.841,58.523810843099106,69.65854732801854,-50.75751230032319,-0.004618374205605487,0.05086944361276447,0.2535283886142489,0.9659784296209142,1.0370233275944638,-1.2309818218289126,-1.3052416350936336,0.007178235333412886,-0.0025572115555405612,0.0028062972705811266
58.941,58.628460044028856,69.53326040477593,-50.78657632384294,-0.004634434097653307,0.05091723700879452,0.25308833961030347,0.9660912220640888,1.0363554536922288,-1.2501241051269207,-1.3087357020685662,7.493695011362433e-05,0.0029028304852545266,0.0020280212629586454
59.041,58.73096715925678,69.40856140720152,-50.791128649458486,-0.004792192026966052,0.050847922050137495,0.25365599500895675,0.9659452157937198,1.0334016227413387,-1.2695927010787,-1.3133666876247985,-0.009336672723293304,-0.0009312625043094159,-0.001052359933964908
59.141,58.8342527059189,69.2804902260405,-50.7819034259698,-0.005170940284905861,0.05084795086288513,0.2540606083083566,0.9658369192444465,1.032675601522735,-1.2917259739553837,-1.3167089041857627,-0.0022306167520582676,0.0019607269205152984,-0.0021559165325015788
59.241,58.93743370804974,69.15027938429026,-50.85801366650174,-0.005254304138169067,0.05099430205553822,0.2538721753177886,0.9658783008460776,1.030924149379061,-1.3121110785285417,-1.3195657838208168,-0.0011888060253113508,0.01170462928712368,-0.0007791396346874549
59.35,59.067251006042454,68.98340904621632,-50.8879882158857,-0.0051528931365352765,0.05111069765547353,0.25362647679354605,0.9659372415156106,1.0304845434144032,-1.337093444778059,-1.3248008528331945,-0.00021591858239844441,-0.0010205269791185858,-0.0012543310876935718
59.442,59.14750580661226,68.87852898995881,-50.85424160187223,-0.005221248671271627,0.05088314369309642,0.2533179755653791,0.9660298377926422,1.0273046800400143,-1.3529386690663412,-1.3257074084758198,-0.0028658886440098286,-0.0013758591376245022,0.0005623572506010535
59.541,59.245971613206656,68.74789377203757,-50.91228724501872,-0.005133119305667992,0.050891380392365966,0.2538997504084555,0.965877132574572,1.0240818794558626,-1.3684662139350068,-1.3326242227513507,0.008542574942111969,-0.007422968745231628,-0.00010410913091618477
59.641,59.372923895599655,68.57689679801773,-50.975860265237415,-0.00459120297283684,0.05070521641218065,0.2545771478471276,0.9657113324787475,1.0232306523787695,-1.3856709971676595,-1.3373573155537095,0.0032483215909451246,-0.002377043943852186,0.0003403552109375599
59.741,59.45063022101789,68.47082611381227,-50.97090743946642,-0.0043620924436087675,0.050857723472806704,0.25389352261590276,0.9658843322501742,1.0224094737554734,-1.4017637169723003,-1.342236071000828,0.002759330440312624,0.007179794367402791,-0.003984176553785802
59.841,59.552886774143325,68.32971834050886,-50.92743027237228,-0.004047888819842046,0.050860382410765556,0.2541329697925215,0.9658225871046744,1.020801493540767,-1.4203141158346932,-1.347089299279704,0.0039253998547792435,-0.005906262435019016,-0.002972087124362587
